,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::detach,0.00%,41.000us,0.00%,53.000us,8.833us,42.000us,0.00%,94.000us,15.667us,0 b,0 b,0 b,0 b,6
detach,0.00%,12.000us,0.00%,12.000us,2.000us,52.000us,0.00%,52.000us,8.667us,0 b,0 b,0 b,0 b,6
autograd::engine::evaluate_function: TBackward0,0.06%,2.157ms,0.22%,8.455ms,53.176us,2.122ms,0.05%,10.259ms,64.522us,0 b,0 b,0 b,0 b,159
TBackward0,0.06%,2.226ms,0.16%,6.298ms,39.610us,2.481ms,0.06%,8.137ms,51.176us,0 b,0 b,0 b,0 b,159
autograd::engine::evaluate_function: SliceBackward0,0.09%,3.576ms,1.00%,38.318ms,120.497us,2.624ms,0.07%,121.458ms,381.943us,0 b,0 b,0 b,-4.86 Gb,318
SliceBackward0,0.11%,4.246ms,0.90%,34.742ms,109.252us,3.343ms,0.09%,118.834ms,373.692us,0 b,0 b,4.86 Gb,0 b,318
aten::slice_backward,0.27%,10.554ms,0.79%,30.496ms,95.899us,6.603ms,0.17%,115.491ms,363.179us,0 b,0 b,4.86 Gb,0 b,318
autograd::engine::evaluate_function: SelectBackward0...,0.05%,1.880ms,0.52%,20.196ms,127.019us,1.203ms,0.03%,46.168ms,290.365us,0 b,0 b,4.84 Gb,-9.94 Mb,159
SelectBackward0,0.06%,2.360ms,0.48%,18.316ms,115.195us,6.653ms,0.17%,44.965ms,282.799us,0 b,0 b,4.85 Gb,0 b,159
aten::select_backward,0.14%,5.259ms,0.41%,15.956ms,100.352us,2.567ms,0.07%,38.312ms,240.956us,0 b,0 b,4.85 Gb,0 b,159
autograd::engine::evaluate_function: CudnnRnnBackwar...,0.08%,3.036ms,12.35%,475.428ms,2.990ms,1.809ms,0.05%,831.363ms,5.229ms,0 b,0 b,-14.79 Gb,-14.80 Gb,159
CudnnRnnBackward0,0.11%,4.289ms,12.27%,472.392ms,2.971ms,2.604ms,0.07%,829.554ms,5.217ms,0 b,0 b,10.33 Mb,-126.39 Mb,159
aten::_cudnn_rnn_backward,10.58%,407.104ms,12.16%,468.103ms,2.944ms,687.236ms,17.59%,826.950ms,5.201ms,0 b,0 b,136.72 Mb,-109.24 Gb,159
aten::resize_as_,0.16%,6.275ms,0.17%,6.488ms,10.201us,4.733ms,0.12%,6.788ms,10.673us,0 b,0 b,0 b,0 b,636
Optimizer.step#Adam.step,4.05%,156.060ms,7.86%,302.635ms,1.903ms,70.584ms,1.81%,244.777ms,1.539ms,-612 b,-43.27 Kb,136.00 Kb,-21.12 Mb,159
aten::lift_fresh,0.00%,0.000us,0.00%,0.000us,0.000us,16.000us,0.00%,16.000us,2.667us,0 b,0 b,0 b,0 b,6
aten::detach_,0.00%,71.000us,0.00%,72.000us,12.000us,49.000us,0.00%,71.000us,11.833us,0 b,0 b,0 b,0 b,6
detach_,0.00%,1.000us,0.00%,1.000us,0.167us,22.000us,0.00%,22.000us,3.667us,0 b,0 b,0 b,0 b,6
aten::add_,1.13%,43.516ms,2.04%,78.641ms,19.650us,50.014ms,1.28%,89.062ms,22.254us,472 b,-3.27 Kb,0 b,0 b,4002
aten::mul_,0.49%,19.027ms,0.49%,19.027ms,9.972us,25.939ms,0.66%,25.939ms,13.595us,0 b,0 b,0 b,0 b,1908
aten::addcmul_,0.29%,11.339ms,0.29%,11.339ms,11.886us,14.776ms,0.38%,14.776ms,15.488us,0 b,0 b,0 b,0 b,954
aten::sqrt,0.35%,13.419ms,0.35%,13.419ms,14.066us,13.960ms,0.36%,13.960ms,14.633us,0 b,0 b,10.56 Mb,10.56 Mb,954
aten::div,0.38%,14.743ms,0.38%,14.743ms,15.454us,13.896ms,0.36%,13.896ms,14.566us,0 b,0 b,10.56 Mb,10.56 Mb,954
aten::addcdiv_,0.26%,10.135ms,0.26%,10.135ms,10.624us,12.429ms,0.32%,12.429ms,13.028us,0 b,0 b,0 b,0 b,954
aten::div_,0.02%,655.000us,0.02%,655.000us,109.167us,99.000us,0.00%,99.000us,16.500us,0 b,0 b,0 b,0 b,6
