,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training),time spent(testing),n_internal,n_params
0,0.9301121656600517,0.9754464285714286,0.9143742735373886,0.7981735159817351,0.08562572646261139,0.8779507785032646,0.7985649000000308,0.2853357999999844,5,112
1,0.9358642507909117,0.9698660714285714,0.9240604416892677,0.815962441314554,0.07593955831073228,0.8862825089240184,1.249529300000006,0.3394988000000012,10,372
2,0.9344262295081968,0.9720982142857143,0.9213483146067416,0.8109869646182495,0.07865168539325842,0.8842639593908629,1.5693987999999877,0.5005263999999556,15,782
3,0.9335634167385677,0.96875,0.9213483146067416,0.8104575163398693,0.07865168539325842,0.8825622775800711,2.071137399999998,0.5936527000000069,20,1342
4,0.9341386252516537,0.9609375,0.924835335141418,0.8161137440758294,0.07516466485858195,0.8826242952332136,2.612849199999971,0.7342026999999689,25,2052
5,0.9327006039689387,0.9642857142857143,0.9217357613328168,0.8105065666041276,0.07826423866718327,0.8807339449541285,3.0490092000000004,0.820896399999981,30,2912
6,0.9312625826862237,0.9486607142857143,0.9252227818674932,0.8149568552253116,0.07477721813250678,0.8767405879319237,3.5717674000000557,0.9491029999999796,35,3922
7,0.9283865401207938,0.9453125,0.9225106547849671,0.8089780324737345,0.07748934521503294,0.871847658260422,5.5584340999999995,1.0308769999999754,40,5082
8,0.9252228932988208,0.9453125,0.9182487407981402,0.8005671077504726,0.08175125920185974,0.8669396110542477,6.434287100000006,1.2417669999999816,45,6392
9,0.9246476847857348,0.9285714285714286,0.9232855482371174,0.8077669902912621,0.07671445176288261,0.8639667705088265,7.4952445000000125,1.2804886000000124,50,7852
10,0.9194708081679609,0.9832589285714286,0.8973266175900814,0.768760907504363,0.10267338240991863,0.8628795298726739,0.881234900000095,0.3219346000000769,5,112
11,0.9303997699165948,0.9676339285714286,0.9174738473459899,0.8027777777777778,0.08252615265401007,0.8775303643724697,1.318797399999994,0.37054190000003473,10,372
12,0.9324129997123958,0.9631696428571429,0.9217357613328168,0.8103286384976526,0.07826423866718327,0.8801631820499746,1.5842592000000195,0.49429859999997916,15,782
13,0.9347138337647397,0.9642857142857143,0.9244478884153429,0.8158640226628895,0.0755521115846571,0.8838874680306906,2.1425133000000187,0.6277008999999225,20,1342
14,0.9335634167385677,0.9676339285714286,0.9217357613328168,0.8110383536014967,0.07826423866718327,0.8824427480916031,2.468076500000052,0.7496806000000333,25,2052
15,0.9355766465343687,0.9575892857142857,0.9279349089500194,0.8218390804597702,0.07206509104998063,0.8845360824742269,2.9384902000000466,0.7961747000000514,30,2912
16,0.9324129997123958,0.9553571428571429,0.9244478884153429,0.8144624167459562,0.0755521115846571,0.8793014894709811,3.571399299999939,0.952011500000026,35,3922
17,0.9332758124820247,0.953125,0.9263851220457188,0.8180076628352491,0.07361487795428129,0.8804123711340206,5.462537499999939,1.0319766000000072,40,5082
18,0.9269485188380788,0.9386160714285714,0.9228981015110422,0.8086538461538462,0.07710189848895777,0.8688016528925621,6.543348500000093,1.156219999999962,45,6392
19,0.9295369571469658,0.9408482142857143,0.9256102285935683,0.8144927536231884,0.07438977140643162,0.8731227343345417,7.478061299999922,1.2459903000000168,50,7852
20,0.9243600805291918,0.9776785714285714,0.905850445563735,0.7828418230563002,0.094149554436265,0.8694789081885856,0.9837091000000555,0.29118689999995695,5,112
21,0.9269485188380788,0.9720982142857143,0.9112746997287873,0.7918181818181819,0.08872530027121271,0.872745490981964,1.2681592000000137,0.3549901999999747,10,372
22,0.9338510209951107,0.9609375,0.9244478884153429,0.8153409090909091,0.0755521115846571,0.8821721311475409,1.5709388000000217,0.49749880000001667,15,782
23,0.9312625826862237,0.9654017857142857,0.9194110809763657,0.8061509785647717,0.08058891902363426,0.8786185881157947,2.109412300000031,0.5869377000000213,20,1342
24,0.9350014380212827,0.9620535714285714,0.9256102285935683,0.8178368121442126,0.07438977140643162,0.8841025641025642,2.481338899999969,0.7231742999999824,25,2052
25,0.9255104975553639,0.9508928571428571,0.9166989538938396,0.7985004686035614,0.0833010461061604,0.868059093224656,3.0495480000000725,0.8571211999999377,30,2912
26,0.9332758124820247,0.9564732142857143,0.9252227818674932,0.8161904761904762,0.07477721813250678,0.880781089414183,3.397133599999961,0.9479241000000229,35,3922
27,0.9309749784296808,0.9486607142857143,0.924835335141418,0.814176245210728,0.07516466485858195,0.8762886597938144,5.4850218999999925,1.116067199999975,40,5082
28,0.9260857060684499,0.9341517857142857,0.9232855482371174,0.808695652173913,0.07671445176288261,0.8669083376488865,6.424759199999926,1.1485126999999693,45,6392
