,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::eq,0.08%,25.285ms,0.08%,25.285ms,18.730us,5.560ms,0.02%,5.560ms,4.119us,0 b,0 b,750.00 Kb,750.00 Kb,1350
Optimizer.zero_grad#AdamW.zero_grad,0.72%,218.696ms,1.43%,433.793ms,327.391us,32.559ms,0.10%,155.884ms,117.648us,-5.18 Kb,-373.05 Kb,0 b,0 b,1325
aten::ones_like,0.06%,17.657ms,0.16%,48.956ms,36.948us,6.232ms,0.02%,16.598ms,12.527us,0 b,0 b,662.50 Kb,0 b,1325
aten::fill_,0.34%,104.598ms,0.34%,104.598ms,6.068us,83.527ms,0.26%,83.527ms,4.846us,0 b,0 b,0 b,0 b,17237
autograd::engine::evaluate_function: DivBackward1,0.06%,18.778ms,0.32%,96.602ms,72.907us,4.064ms,0.01%,17.446ms,13.167us,0 b,-464 b,662.50 Kb,0 b,1325
DivBackward1,0.11%,34.270ms,0.26%,77.824ms,58.735us,6.002ms,0.02%,13.382ms,10.100us,464 b,464 b,662.50 Kb,0 b,1325
aten::lift_fresh,0.01%,3.057ms,0.01%,3.057ms,2.286us,1.988ms,0.01%,1.988ms,1.487us,0 b,0 b,0 b,0 b,1337
autograd::engine::evaluate_function: NegBackward0,0.04%,12.969ms,0.14%,42.507ms,32.081us,4.085ms,0.01%,13.568ms,10.240us,0 b,0 b,512 b,-662.00 Kb,1325
NegBackward0,0.03%,9.871ms,0.10%,29.538ms,22.293us,3.976ms,0.01%,9.483ms,7.157us,0 b,0 b,662.50 Kb,0 b,1325
autograd::engine::evaluate_function: SumBackward0,0.03%,10.476ms,0.13%,38.899ms,29.358us,4.090ms,0.01%,14.130ms,10.664us,0 b,0 b,0 b,0 b,1325
SumBackward0,0.03%,8.927ms,0.09%,28.423ms,21.451us,3.994ms,0.01%,10.040ms,7.577us,0 b,0 b,0 b,0 b,1325
autograd::engine::evaluate_function: MulBackward0,0.06%,16.743ms,0.37%,112.358ms,84.798us,4.204ms,0.01%,614.191ms,463.540us,0 b,0 b,662.50 Kb,-662.50 Kb,1325
MulBackward0,0.05%,13.691ms,0.31%,95.615ms,72.162us,4.411ms,0.01%,609.987ms,460.368us,0 b,0 b,1.29 Mb,0 b,1325
autograd::engine::evaluate_function: LogSoftmaxBackw...,0.05%,15.362ms,0.19%,57.592ms,43.466us,4.079ms,0.01%,13.174ms,9.943us,0 b,0 b,-1.29 Mb,-2.59 Mb,1325
LogSoftmaxBackward0,0.05%,16.454ms,0.14%,42.230ms,31.872us,4.014ms,0.01%,9.095ms,6.864us,0 b,0 b,1.29 Mb,0 b,1325
aten::_log_softmax_backward_data,0.08%,25.776ms,0.08%,25.776ms,19.454us,5.081ms,0.02%,5.081ms,3.835us,0 b,0 b,1.29 Mb,1.29 Mb,1325
