,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training),time spent(testing),n_internal,n_params
0,0.9209088294506759,0.9799107142857143,0.9004261913986826,0.7735682819383259,0.09957380860131732,0.8645987198424422,1.7409990000000004,0.23064719999999994,5,112
1,0.9295369571469658,0.9732142857142857,0.9143742735373886,0.797804208600183,0.08562572646261139,0.8768225238813474,0.8971572000000005,0.30640840000000047,10,372
2,0.9283865401207938,0.9598214285714286,0.9174738473459899,0.8014911463187325,0.08252615265401007,0.8735398679532759,1.2634612,0.353599599999999,15,782
3,0.9309749784296808,0.9698660714285714,0.9174738473459899,0.8031423290203327,0.08252615265401007,0.8786653185035388,1.431108,0.3969313000000021,20,1342
4,0.9318377911993098,0.9486607142857143,0.9259976753196435,0.8165225744476465,0.07400232468035645,0.8776458440887972,1.6665709999999976,0.4528351999999991,25,2052
5,0.9283865401207938,0.9553571428571429,0.9190236342502905,0.8037558685446009,0.08097636574970941,0.87302396736359,1.8533064999999986,0.5044377000000004,30,2912
6,0.9318377911993098,0.953125,0.9244478884153429,0.8141086749285034,0.0755521115846571,0.8781491002570695,2.1614375999999993,0.6934038999999999,35,3922
7,0.9312625826862237,0.9508928571428571,0.9244478884153429,0.8137535816618912,0.0755521115846571,0.8769943386515697,2.8088036999999986,0.6539318999999999,40,5082
8,0.9275237273511648,0.9363839285714286,0.9244478884153429,0.811411992263056,0.0755521115846571,0.8694300518134715,3.0842519000000017,0.7347590000000039,45,6392
9,0.9275237273511648,0.9274553571428571,0.9275474622239442,0.8163064833005894,0.07245253777605579,0.8683385579937304,3.4411124999999956,0.7670439999999985,50,7852
10,0.9240724762726489,0.9698660714285714,0.908175125920186,0.7857142857142857,0.09182487407981403,0.868131868131868,0.6197197999999986,0.19755199999999462,5,112
11,0.9295369571469658,0.9720982142857143,0.9147617202634638,0.7983501374885427,0.08523827973653622,0.8766985405133367,0.923104600000002,0.28485510000000147,10,372
12,0.9367270635605407,0.9698660714285714,0.9252227818674932,0.8182674199623352,0.07477721813250678,0.8876404494382022,1.1609054999999984,0.3383725000000055,15,782
13,0.9367270635605407,0.9676339285714286,0.9259976753196435,0.8194706994328923,0.07400232468035645,0.8874104401228251,1.4010674000000023,0.38193350000000237,20,1342
14,0.9367270635605407,0.9665178571428571,0.9263851220457188,0.8200757575757576,0.07361487795428129,0.8872950819672131,1.693737700000007,0.45189349999999706,25,2052
15,0.9306873741731377,0.9620535714285714,0.9197985277024409,0.8063610851262862,0.08020147229755908,0.8773536895674301,2.020842199999997,0.5070917999999978,30,2912
16,0.9329882082254818,0.9598214285714286,0.9236729949631926,0.8136234626300851,0.07632700503680744,0.8806963645673322,2.180798699999997,0.5765908999999994,35,3922
17,0.9298245614035088,0.9564732142857143,0.9205734211545913,0.8069679849340866,0.07942657884540875,0.8753830439223698,2.609414100000002,0.6585583999999969,40,5082
18,0.9263733103249928,0.9441964285714286,0.9201859744285161,0.8041825095057035,0.07981402557148393,0.8685831622176591,2.927324200000001,0.7647165999999999,45,6392
19,0.9249352890422778,0.9296875,0.9232855482371174,0.8079534432589719,0.07671445176288261,0.8645563051375195,3.2201881000000014,0.7706567999999976,50,7852
20,0.9010641357492091,0.984375,0.8721425803951957,0.7277227722772277,0.12785741960480435,0.8368121442125237,0.5808615999999986,0.211948900000003,5,112
21,0.9344262295081968,0.9665178571428571,0.9232855482371174,0.8139097744360902,0.07671445176288261,0.8836734693877552,0.9467051000000026,0.283418999999995,10,372
22,0.9338510209951107,0.9698660714285714,0.9213483146067416,0.8106343283582089,0.07865168539325842,0.883130081300813,1.1388305999999986,0.3789939999999987,15,782
23,0.9350014380212827,0.9654017857142857,0.9244478884153429,0.8160377358490566,0.0755521115846571,0.8844580777096115,1.4931168999999969,0.39283650000000137,20,1342
24,0.9301121656600517,0.9553571428571429,0.9213483146067416,0.8083097261567517,0.07865168539325842,0.8757033248081841,1.6566185000000075,0.4911537999999922,25,2052
25,0.9327006039689387,0.9575892857142857,0.9240604416892677,0.8140417457305503,0.07593955831073228,0.8800000000000001,1.8074747000000002,0.538332099999991,30,2912
26,0.9367270635605407,0.9609375,0.9283223556760946,0.8231357552581262,0.07167764432390546,0.8867147270854788,2.0878467,0.5723815999999999,35,3922
27,0.9295369571469658,0.9441964285714286,0.9244478884153429,0.8126801152737753,0.0755521115846571,0.8735157459989675,2.6552990999999935,0.6151858000000061,40,5082
28,0.9286741443773368,0.9408482142857143,0.9244478884153429,0.8121387283236994,0.0755521115846571,0.8717683557394003,2.8860495999999927,0.738067700000002,45,6392
29,0.9186079953983319,0.9241071428571429,0.9166989538938396,0.7938638542665388,0.0833010461061604,0.8540484785972151,3.2674054999999953,0.7822966999999892,50,7852
30,0.9295369571469658,0.9776785714285714,0.9128244866330879,0.7956403269754768,0.08717551336691205,0.8773159739609414,0.6299905999999993,0.1929749999999899,5,112
31,0.9312625826862237,0.9654017857142857,0.9194110809763657,0.8061509785647717,0.08058891902363426,0.8786185881157947,0.8797651999999943,0.27994699999999284,10,372
32,0.9318377911993098,0.9654017857142857,0.9201859744285161,0.80765639589169,0.07981402557148393,0.8795119471276055,1.1532320999999968,0.3607323999999892,15,782
33,0.9318377911993098,0.9564732142857143,0.9232855482371174,0.8123222748815165,0.07671445176288261,0.8785238339313173,1.4802806999999945,0.4410464999999988,20,1342
34,0.9364394593039977,0.9631696428571429,0.9271600154978691,0.8211227402473834,0.07283998450213096,0.886492039034412,1.628432900000007,0.45605460000000164,25,2052
35,0.9373022720736267,0.9642857142857143,0.9279349089500194,0.8228571428571428,0.07206509104998063,0.8879753340184995,1.9722010999999924,0.5147350999999958,30,2912
36,0.9292493528904228,0.9497767857142857,0.9221232080588919,0.80893536121673,0.0778767919411081,0.8737166324435317,2.1780676000000057,0.5787585000000064,35,3922
37,0.9355766465343687,0.9553571428571429,0.9287098024021697,0.823076923076923,0.0712901975978303,0.884297520661157,2.6777007999999967,0.7033619999999985,40,5082
38,0.9309749784296808,0.9486607142857143,0.924835335141418,0.814176245210728,0.07516466485858195,0.8762886597938144,2.8476394999999997,0.6966215000000062,45,6392
39,0.9217716422203048,0.9352678571428571,0.9170864006199148,0.7965779467680608,0.08291359938008523,0.8603696098562629,3.253216199999997,0.8217042999999933,50,7852
40,0.9240724762726489,0.9799107142857143,0.9046881053855095,0.7811387900355872,0.09531189461449051,0.8693069306930693,0.5968920999999909,0.18955290000000957,5,112
41,0.9292493528904228,0.9698660714285714,0.915149166989539,0.7987132352941176,0.08485083301046106,0.876008064516129,0.8519622000000027,0.28602360000000715,10,372
42,0.9286741443773368,0.9631696428571429,0.9166989538938396,0.800556586270872,0.0833010461061604,0.8743667679837893,1.1609387000000027,0.3306991000000039,15,782
43,0.9352890422778257,0.9609375,0.9263851220457188,0.8192197906755471,0.07361487795428129,0.884437596302003,1.476121500000005,0.41391520000000526,20,1342
44,0.9295369571469658,0.9575892857142857,0.9197985277024409,0.8056338028169014,0.08020147229755908,0.8750637429882713,1.6850221999999917,0.5809190999999885,25,2052
