,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,# of Calls
LogSoftmaxBackward0,0.02%,14.347ms,0.06%,43.297ms,32.677us,385.489ms,0.56%,389.604ms,294.041us,1.29 Mb,0 b,1325
aten::_log_softmax_backward_data,0.04%,28.950ms,0.04%,28.950ms,21.849us,4.115ms,0.01%,4.115ms,3.106us,1.29 Mb,1.29 Mb,1325
autograd::engine::evaluate_function: AddmmBackward0,0.20%,141.339ms,4.57%,3.221s,1.215ms,36.585ms,0.05%,7.034s,2.654ms,7.52 Gb,-42.70 Mb,2650
AddmmBackward0,0.18%,128.321ms,4.25%,2.997s,1.131ms,2.150s,3.11%,6.013s,2.269ms,7.56 Gb,0 b,2650
aten::mm,3.87%,2.724s,3.87%,2.725s,514.088us,60.462ms,0.09%,1.832s,345.604us,7.56 Gb,7.56 Gb,5300
autograd::engine::evaluate_function: struct torch::a...,0.18%,123.930ms,1.29%,909.551ms,57.204us,102.141ms,0.15%,2.417s,152.004us,-2.54 Gb,-727.27 Kb,15900
struct torch::autograd::AccumulateGrad,0.76%,534.154ms,1.11%,785.621ms,49.410us,2.265s,3.28%,2.315s,145.580us,-2.54 Gb,-2.54 Gb,15900
aten::detach,0.00%,308.000us,0.00%,349.000us,29.083us,72.000us,0.00%,108.000us,9.000us,0 b,0 b,12
detach,0.00%,41.000us,0.00%,41.000us,3.417us,36.000us,0.00%,36.000us,3.000us,0 b,0 b,12
autograd::engine::evaluate_function: TBackward0,0.03%,19.985ms,0.12%,83.924ms,31.669us,17.788ms,0.03%,1.298s,489.709us,0 b,0 b,2650
TBackward0,0.03%,21.304ms,0.09%,63.939ms,24.128us,637.943ms,0.92%,1.280s,482.996us,0 b,0 b,2650
autograd::engine::evaluate_function: ReluBackward0,3.48%,2.450s,10.71%,7.549s,1.899ms,25.532ms,0.04%,789.676ms,198.661us,-10.09 Gb,-20.18 Gb,3975
ReluBackward0,0.11%,79.056ms,7.23%,5.098s,1.283ms,751.844ms,1.09%,764.144ms,192.237us,10.09 Gb,0 b,3975
aten::threshold_backward,7.12%,5.019s,7.12%,5.019s,1.263ms,12.300ms,0.02%,12.300ms,3.094us,10.09 Gb,10.09 Gb,3975
autograd::engine::evaluate_function: ViewBackward0,0.02%,12.244ms,0.08%,53.498ms,40.376us,8.758ms,0.01%,523.152ms,394.832us,0 b,0 b,1325
ViewBackward0,0.02%,11.128ms,0.06%,41.254ms,31.135us,317.322ms,0.46%,514.394ms,388.222us,0 b,0 b,1325
aten::reshape,0.03%,20.868ms,0.04%,30.126ms,22.737us,8.341ms,0.01%,197.072ms,148.734us,0 b,0 b,1325
aten::_reshape_alias,0.01%,9.258ms,0.01%,9.258ms,6.987us,188.731ms,0.27%,188.731ms,142.438us,0 b,0 b,1325
autograd::engine::evaluate_function: NativeBatchNorm...,3.34%,2.356s,8.95%,6.305s,2.379ms,17.476ms,0.03%,1.534s,578.947us,-10.05 Gb,-20.10 Gb,2650
NativeBatchNormBackward0,0.09%,66.310ms,5.60%,3.948s,1.490ms,383.347ms,0.55%,1.517s,572.352us,10.05 Gb,0 b,2650
aten::native_batch_norm_backward,5.34%,3.763s,5.51%,3.882s,1.465ms,45.210ms,0.07%,1.133s,427.693us,10.05 Gb,-10.05 Gb,2650
autograd::engine::evaluate_function: ConvolutionBack...,1.66%,1.172s,17.23%,12.146s,4.583ms,17.264ms,0.02%,2.184s,824.294us,-4.98 Gb,-10.05 Gb,2650
ConvolutionBackward0,0.04%,29.879ms,15.57%,10.973s,4.141ms,197.619ms,0.29%,2.167s,817.779us,5.07 Gb,0 b,2650
aten::convolution_backward,15.18%,10.695s,15.53%,10.943s,4.130ms,101.501ms,0.15%,1.969s,743.206us,5.07 Gb,126.75 Kb,2650
Optimizer.step#AdamW.step,4.18%,2.948s,12.85%,9.057s,6.836ms,640.104ms,0.93%,8.748s,6.602ms,3.92 Mb,-5.08 Gb,1325
aten::detach_,0.00%,46.000us,0.00%,50.000us,4.167us,72.000us,0.00%,108.000us,9.000us,0 b,0 b,12
detach_,0.00%,4.000us,0.00%,4.000us,0.333us,36.000us,0.00%,36.000us,3.000us,0 b,0 b,12
aten::zeros_like,0.00%,860.000us,0.00%,2.507ms,104.458us,2.005ms,0.00%,2.302ms,95.917us,3.93 Mb,0 b,24
aten::mul_,1.27%,897.033ms,2.77%,1.954s,40.973us,1.169s,1.69%,3.543s,74.286us,13.24 Kb,-173.09 Kb,47700
aten::addcmul_,0.36%,251.994ms,0.36%,251.994ms,15.849us,178.024ms,0.26%,178.024ms,11.196us,0 b,0 b,15900
