,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training)
0,0.8968115942028986,0.9733333333333334,0.8202898550724638,0.8441427853192559,0.17971014492753623,0.9041464728056005,1.4129673999999994
1,0.8985507246376812,0.9704347826086956,0.8266666666666667,0.8484541307653319,0.17333333333333334,0.9053542455381287,1.1021086999999987
2,0.8985507246376812,0.9649275362318841,0.8321739130434782,0.851842374616172,0.16782608695652174,0.9048654525686329,1.1018507999999994
3,0.8992753623188405,0.9643478260869566,0.8342028985507246,0.8532957168504745,0.16579710144927537,0.9054293101102191,1.0925526999999988
4,0.8995652173913044,0.9507246376811594,0.8484057971014493,0.8624769918485407,0.15159420289855072,0.9044533296566938,1.0942349
5,0.9026086956521739,0.967536231884058,0.8376811594202899,0.8563365828630066,0.16231884057971013,0.9085465432770822,1.1318419000000013
6,0.8936231884057971,0.9179710144927536,0.8692753623188406,0.8753454947484798,0.1307246376811594,0.8961516694963214,1.132917899999999
7,0.34057971014492755,0.6452173913043479,0.035942028985507246,0.40093659942363113,0.9640579710144928,0.494556765163297,1.1221311999999983
8,0.3656521739130435,0.556231884057971,0.17507246376811594,0.40272822665267577,0.8249275362318841,0.46719415702982353,1.1548733999999996
9,0.7379710144927536,0.5431884057971015,0.9327536231884058,0.8898385565052231,0.0672463768115942,0.6745860331173505,1.118245800000004
10,0.5327536231884058,0.6527536231884058,0.4127536231884058,0.5264142122487143,0.5872463768115942,0.5828157349896481,1.1926127000000015
11,0.7336231884057971,0.5078260869565218,0.9594202898550724,0.9260042283298098,0.04057971014492753,0.6559341070760014,1.3656580999999974
12,0.4036231884057971,0.7834782608695652,0.023768115942028985,0.4452314281008071,0.976231884057971,0.5677975002625774,1.4373521999999994
13,0.7692753623188405,0.7043478260869566,0.8342028985507246,0.8094603597601598,0.16579710144927537,0.7532548047117172,1.4302828999999946
14,0.8033333333333333,0.7249275362318841,0.8817391304347826,0.8597456170505329,0.11826086956521739,0.7866016669287625,1.386038500000005
15,0.8565217391304348,0.8742028985507246,0.8388405797101449,0.8443449048152296,0.16115942028985508,0.8590145257761321,1.2380547999999933
16,0.8563768115942029,0.8692753623188406,0.8434782608695652,0.8474145238768014,0.1565217391304348,0.8582057518958364,1.3260755000000017
17,0.8369565217391305,0.7634782608695653,0.9104347826086957,0.8950050968399592,0.08956521739130435,0.8240262787423746,1.4352164999999957
18,0.8302898550724638,0.7524637681159421,0.9081159420289855,0.8911774802608994,0.0918840579710145,0.815967311016816,1.3083978000000087
19,0.8408695652173913,0.7782608695652173,0.9034782608695652,0.889662027833002,0.09652173913043478,0.8302411873840446,1.2803594000000018
