,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::_unsafe_view,0.04%,19.891ms,0.04%,19.891ms,1.281us,22.595ms,0.04%,22.595ms,1.455us,0 b,0 b,0 b,0 b,15526
aten::vstack,0.01%,5.247ms,1.62%,751.734ms,250.578ms,15.000us,0.00%,830.276ms,276.759ms,0 b,0 b,151.91 Mb,0 b,3
aten::atleast_2d,0.28%,131.650ms,1.53%,709.955ms,236.652ms,367.075ms,0.73%,790.777ms,263.592ms,0 b,0 b,0 b,0 b,3
aten::unsqueeze,0.94%,436.317ms,1.25%,578.320ms,37.244us,46.873ms,0.09%,423.318ms,27.262us,0 b,0 b,0 b,0 b,15528
aten::inverse,0.00%,607.000us,0.20%,93.032ms,93.032ms,3.000us,0.00%,673.752ms,673.752ms,0 b,0 b,24.81 Mb,0 b,1
aten::linalg_inv,0.00%,809.000us,0.20%,92.425ms,92.425ms,4.000us,0.00%,673.749ms,673.749ms,0 b,0 b,24.81 Mb,-512 b,1
aten::linalg_inv_ex,0.01%,4.531ms,0.18%,81.198ms,81.198ms,7.000us,0.00%,44.174ms,44.174ms,0 b,0 b,24.81 Mb,24.81 Mb,1
aten::diagonal,0.00%,9.000us,0.00%,13.000us,13.000us,3.000us,0.00%,4.000us,4.000us,0 b,0 b,0 b,0 b,1
aten::linalg_solve_ex,0.00%,1.404ms,0.16%,74.245ms,74.245ms,6.000us,0.00%,44.019ms,44.019ms,0 b,0 b,0 b,-24.81 Mb,1
aten::new_empty,0.00%,518.000us,0.00%,528.000us,264.000us,5.000us,0.00%,8.000us,4.000us,0 b,0 b,0 b,0 b,2
aten::_linalg_solve_ex,0.01%,2.563ms,0.16%,72.313ms,72.313ms,11.000us,0.00%,44.005ms,44.005ms,0 b,0 b,24.81 Mb,0 b,1
aten::linalg_lu_factor_ex,0.11%,52.735ms,0.11%,53.165ms,53.165ms,26.905ms,0.05%,27.198ms,27.198ms,0 b,0 b,0 b,0 b,1
aten::linalg_lu_solve,0.02%,9.462ms,0.04%,16.543ms,16.543ms,323.000us,0.00%,16.784ms,16.784ms,0 b,0 b,0 b,-24.82 Mb,1
aten::mH,0.00%,5.000us,0.00%,15.000us,15.000us,2.000us,0.00%,7.000us,7.000us,0 b,0 b,0 b,0 b,1
aten::linalg_solve_triangular,0.00%,2.059ms,0.00%,2.081ms,1.040ms,15.805ms,0.03%,15.821ms,7.910ms,0 b,0 b,0 b,0 b,2
aten::expand_as,0.00%,5.000us,0.00%,12.000us,12.000us,3.000us,0.00%,7.000us,7.000us,0 b,0 b,0 b,0 b,1
aten::scatter_,0.01%,4.823ms,0.01%,4.828ms,4.828ms,294.000us,0.00%,297.000us,297.000us,0 b,0 b,0 b,0 b,1
aten::_has_compatible_shallow_copy_type,0.00%,1.000us,0.00%,1.000us,1.000us,2.000us,0.00%,2.000us,2.000us,0 b,0 b,0 b,0 b,1
aten::linear,0.00%,335.000us,0.00%,610.000us,305.000us,14.000us,0.00%,900.000us,450.000us,0 b,0 b,67.50 Kb,0 b,2
aten::argmax,0.01%,5.282ms,0.01%,5.285ms,1.321ms,52.000us,0.00%,58.000us,14.500us,0 b,0 b,135.00 Kb,135.00 Kb,4
aten::eq,0.01%,4.864ms,0.01%,4.864ms,2.432ms,10.000us,0.00%,10.000us,5.000us,0 b,0 b,9.00 Kb,9.00 Kb,2
aten::sum,0.01%,5.536ms,0.02%,7.449ms,3.724ms,21.000us,0.00%,58.000us,29.000us,0 b,0 b,1.00 Kb,-66.50 Kb,2
