,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,# of Calls
aten::fill_,0.18%,133.793ms,0.18%,133.793ms,15.556us,804.195ms,1.03%,804.195ms,93.500us,0 b,0 b,8601
aten::neg,0.04%,30.444ms,0.04%,30.444ms,10.233us,8.774ms,0.01%,8.774ms,2.949us,11.62 Kb,11.62 Kb,2975
aten::div,1.21%,891.025ms,1.90%,1.405s,74.462us,1.079s,1.39%,3.018s,159.910us,2.54 Gb,2.54 Gb,18875
aten::_to_copy,2.05%,1.511s,2.58%,1.907s,19.043us,1.880s,2.42%,4.922s,49.163us,1.99 Mb,56.08 Kb,100125
aten::empty_strided,0.23%,171.379ms,0.23%,171.379ms,1.689us,1.380s,1.77%,1.380s,13.597us,5.86 Mb,5.86 Mb,101474
aten::add,0.00%,2.279ms,0.00%,3.339ms,66.780us,324.000us,0.00%,16.435ms,328.700us,220 b,20 b,50
aten::argmax,0.09%,67.818ms,0.09%,69.878ms,21.175us,615.002ms,0.79%,624.795ms,189.332us,3.22 Mb,3.22 Mb,3300
aten::eq,0.02%,15.902ms,0.02%,15.902ms,9.638us,397.454ms,0.51%,397.454ms,240.881us,206.25 Kb,206.25 Kb,1650
Optimizer.zero_grad#AdamW.zero_grad,0.31%,230.529ms,0.51%,373.855ms,282.155us,2.479s,3.19%,2.615s,1.973ms,-5.18 Kb,-366.30 Kb,1325
aten::ones_like,0.03%,19.286ms,0.05%,33.860ms,25.555us,912.717ms,1.17%,928.648ms,700.866us,5.18 Kb,0 b,1325
autograd::engine::evaluate_function: DivBackward1,0.02%,12.708ms,0.15%,108.720ms,82.053us,534.739ms,0.69%,1.710s,1.291ms,5.18 Kb,-704 b,1325
DivBackward1,0.04%,29.952ms,0.13%,96.012ms,72.462us,12.905ms,0.02%,1.176s,887.225us,5.86 Kb,672 b,1325
aten::lift_fresh,0.00%,2.717ms,0.00%,2.717ms,2.032us,3.965ms,0.01%,3.965ms,2.966us,0 b,0 b,1337
autograd::engine::evaluate_function: NegBackward0,0.02%,12.031ms,0.04%,29.171ms,22.016us,8.286ms,0.01%,20.223ms,15.263us,28 b,-5.15 Kb,1325
NegBackward0,0.01%,8.712ms,0.02%,17.140ms,12.936us,8.024ms,0.01%,11.937ms,9.009us,5.18 Kb,0 b,1325
autograd::engine::evaluate_function: SumBackward0,0.01%,9.544ms,0.05%,37.690ms,28.445us,198.881ms,0.26%,1.567s,1.182ms,0 b,0 b,1325
SumBackward0,0.01%,9.384ms,0.04%,28.146ms,21.242us,8.399ms,0.01%,1.368s,1.032ms,0 b,0 b,1325
autograd::engine::evaluate_function: MulBackward0,0.02%,11.125ms,0.05%,34.727ms,26.209us,8.317ms,0.01%,20.285ms,15.309us,1.29 Mb,-5.18 Kb,1325
MulBackward0,0.02%,11.696ms,0.03%,23.602ms,17.813us,8.083ms,0.01%,11.968ms,9.032us,1.29 Mb,0 b,1325
autograd::engine::evaluate_function: LogSoftmaxBackw...,0.02%,13.426ms,0.08%,62.536ms,47.197us,758.677ms,0.98%,1.343s,1.014ms,-1.28 Mb,-2.58 Mb,1325
LogSoftmaxBackward0,0.02%,16.409ms,0.07%,49.110ms,37.064us,8.107ms,0.01%,584.713ms,441.293us,1.29 Mb,0 b,1325
aten::_log_softmax_backward_data,0.04%,32.701ms,0.04%,32.701ms,24.680us,576.606ms,0.74%,576.606ms,435.174us,1.29 Mb,1.29 Mb,1325
autograd::engine::evaluate_function: AddmmBackward0,0.19%,140.170ms,5.09%,3.763s,1.420ms,744.122ms,0.96%,7.704s,2.907ms,7.52 Gb,-42.70 Mb,2650
AddmmBackward0,0.19%,139.690ms,4.76%,3.518s,1.328ms,56.530ms,0.07%,6.387s,2.410ms,7.56 Gb,0 b,2650
aten::mm,4.36%,3.223s,4.36%,3.224s,608.235us,2.192s,2.82%,2.231s,421.002us,7.56 Gb,7.56 Gb,5300
autograd::engine::evaluate_function: struct torch::a...,0.18%,135.796ms,1.25%,926.263ms,58.256us,2.804s,3.61%,4.567s,287.229us,-2.54 Gb,-583.90 Kb,15900
struct torch::autograd::AccumulateGrad,0.69%,511.209ms,1.07%,790.467ms,49.715us,102.788ms,0.13%,1.763s,110.883us,-2.54 Gb,-2.54 Gb,15900
aten::detach,0.00%,52.000us,0.00%,93.000us,7.750us,73.000us,0.00%,109.000us,9.083us,0 b,0 b,12
detach,0.00%,41.000us,0.00%,41.000us,3.417us,36.000us,0.00%,36.000us,3.000us,0 b,0 b,12
autograd::engine::evaluate_function: TBackward0,0.03%,20.795ms,0.12%,90.312ms,34.080us,1.148s,1.48%,1.757s,662.998us,0 b,0 b,2650
TBackward0,0.03%,21.928ms,0.09%,69.517ms,26.233us,16.868ms,0.02%,609.365ms,229.949us,0 b,0 b,2650
autograd::engine::evaluate_function: ReluBackward0,3.28%,2.426s,11.19%,8.268s,2.080ms,819.886ms,1.05%,1.070s,269.289us,-10.09 Gb,-20.18 Gb,3975
ReluBackward0,0.14%,101.792ms,7.91%,5.842s,1.470ms,24.188ms,0.03%,250.538ms,63.028us,10.09 Gb,0 b,3975
aten::threshold_backward,7.77%,5.740s,7.77%,5.740s,1.444ms,226.350ms,0.29%,226.350ms,56.943us,10.09 Gb,10.09 Gb,3975
autograd::engine::evaluate_function: ViewBackward0,0.02%,12.235ms,0.08%,55.958ms,42.232us,536.980ms,0.69%,808.913ms,610.500us,0 b,0 b,1325
ViewBackward0,0.02%,12.508ms,0.06%,43.723ms,32.998us,8.229ms,0.01%,271.933ms,205.232us,0 b,0 b,1325
aten::reshape,0.03%,20.336ms,0.04%,31.215ms,23.558us,259.727ms,0.33%,263.704ms,199.022us,0 b,0 b,1325
aten::_reshape_alias,0.01%,10.879ms,0.01%,10.879ms,8.211us,3.977ms,0.01%,3.977ms,3.002us,0 b,0 b,1325
autograd::engine::evaluate_function: NativeBatchNorm...,3.20%,2.361s,9.38%,6.932s,2.616ms,127.203ms,0.16%,1.530s,577.435us,-10.05 Gb,-20.10 Gb,2650
NativeBatchNormBackward0,0.10%,72.322ms,6.19%,4.571s,1.725ms,16.823ms,0.02%,1.403s,529.434us,10.05 Gb,0 b,2650
aten::native_batch_norm_backward,5.90%,4.356s,6.09%,4.499s,1.698ms,837.048ms,1.08%,1.386s,523.086us,10.05 Gb,-10.05 Gb,2650
autograd::engine::evaluate_function: ConvolutionBack...,1.62%,1.195s,18.80%,13.889s,5.241ms,282.172ms,0.36%,2.777s,1.048ms,-4.98 Gb,-10.05 Gb,2650
ConvolutionBackward0,0.04%,32.468ms,17.18%,12.693s,4.790ms,16.629ms,0.02%,2.495s,941.345us,5.07 Gb,0 b,2650
aten::convolution_backward,16.77%,12.384s,17.14%,12.661s,4.778ms,1.787s,2.30%,2.478s,935.070us,5.07 Gb,74.25 Kb,2650
Optimizer.step#AdamW.step,4.16%,3.072s,13.34%,9.854s,7.437ms,2.569s,3.30%,9.468s,7.146ms,3.92 Mb,-5.08 Gb,1325
aten::detach_,0.00%,49.000us,0.00%,55.000us,4.583us,79.000us,0.00%,109.000us,9.083us,0 b,0 b,12
detach_,0.00%,6.000us,0.00%,6.000us,0.500us,36.000us,0.00%,36.000us,3.000us,0 b,0 b,12
aten::zeros_like,0.00%,152.000us,0.00%,3.586ms,149.417us,256.000us,0.00%,561.000us,23.375us,3.93 Mb,0 b,24
aten::mul_,1.35%,995.520ms,2.91%,2.152s,45.115us,321.383ms,0.41%,3.310s,69.391us,9.83 Kb,-176.50 Kb,47700
aten::addcmul_,0.39%,289.096ms,0.39%,289.096ms,18.182us,47.234ms,0.06%,47.234ms,2.971us,0 b,0 b,15900
aten::sqrt,1.18%,874.765ms,1.18%,874.765ms,55.017us,47.211ms,0.06%,47.211ms,2.969us,2.54 Gb,2.54 Gb,15900
aten::addcdiv_,0.76%,560.936ms,0.76%,560.936ms,35.279us,47.262ms,0.06%,47.262ms,2.972us,0 b,0 b,15900
aten::div_,0.00%,2.129ms,0.01%,3.899ms,77.980us,326.000us,0.00%,1.397ms,27.940us,8 b,-192 b,50
