,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training),n_internal,n_params
0,0.9081159420289855,0.9652173913043478,0.8510144927536232,0.8662851196670135,0.14898550724637682,0.9130792432136002,1.3971552999999997,5,112
1,0.9144927536231884,0.9649275362318841,0.8640579710144928,0.8765139547130069,0.13594202898550725,0.9185982339955849,0.8840512999999994,10,372
2,0.9189855072463768,0.9643478260869566,0.8736231884057971,0.8841349986712729,0.1263768115942029,0.9225010397892693,1.1511824000000015,15,782
3,0.9257971014492754,0.9597101449275363,0.8918840579710144,0.8987513572204126,0.1081159420289855,0.9282310064479956,1.3553954000000008,20,1342
4,0.9278260869565217,0.9649275362318841,0.8907246376811594,0.8982730706961684,0.10927536231884058,0.9304080491894914,1.6737962999999993,25,2052
5,0.9349275362318841,0.9646376811594203,0.9052173913043479,0.9105335157318741,0.09478260869565218,0.936805066854328,1.8337959999999995,30,2912
6,0.9331884057971015,0.9617391304347827,0.9046376811594203,0.9097888675623801,0.0953623188405797,0.9350429759053122,2.045106800000003,35,3922
7,0.9327536231884058,0.9631884057971014,0.9023188405797101,0.9079234972677596,0.09768115942028986,0.9347398030942333,2.6700219999999995,40,5082
8,0.933623188405797,0.9568115942028985,0.9104347826086957,0.914404432132964,0.08956521739130435,0.9351274787535411,2.731103900000001,45,6392
9,0.9405797101449276,0.9571014492753623,0.9240579710144927,0.9264870931537598,0.07594202898550724,0.9415454804676362,3.136112299999997,50,7852
10,0.9082608695652173,0.9684057971014493,0.8481159420289855,0.8644243208279431,0.15188405797101448,0.9134654818865344,0.5985289999999992,5,112
11,0.9182608695652174,0.9649275362318841,0.8715942028985507,0.8825556733828208,0.12840579710144928,0.9219052893935198,0.8984233999999987,10,372
12,0.9208695652173913,0.9655072463768116,0.876231884057971,0.8863757317722193,0.12376811594202898,0.9242508324084351,1.0628531999999993,15,782
13,0.926231884057971,0.9637681159420289,0.888695652173913,0.8964680506875169,0.11130434782608696,0.928900684453136,1.311152100000001,20,1342
14,0.9307246376811594,0.9672463768115942,0.8942028985507247,0.9014046461372232,0.10579710144927536,0.933165548098434,1.6943776000000028,25,2052
15,0.9311594202898551,0.9628985507246377,0.8994202898550725,0.9054238212046879,0.10057971014492753,0.9332771456665262,1.7679305999999997,30,2912
16,0.9368115942028985,0.9640579710144928,0.9095652173913044,0.914238592633315,0.09043478260869565,0.9384875846501128,2.069088300000004,35,3922
17,0.9284057971014493,0.9568115942028985,0.9,0.9053757542512342,0.1,0.9303833145434047,2.3928663999999955,40,5082
18,0.9363768115942029,0.9608695652173913,0.9118840579710145,0.915998894722299,0.08811594202898551,0.9378978639128589,2.731379699999998,45,6392
19,0.938695652173913,0.9530434782608695,0.9243478260869565,0.926458157227388,0.07565217391304348,0.9395627946849551,3.083293900000001,50,7852
20,0.9081159420289855,0.9672463768115942,0.8489855072463768,0.8649559357179886,0.1510144927536232,0.9132457580733442,0.5648988999999958,5,112
21,0.9156521739130434,0.9666666666666667,0.8646376811594203,0.8771699105733824,0.1353623188405797,0.9197462768891341,0.9270788999999979,10,372
